year,name,price,profile_id,positsion
2018,Dalvin Cook,38,2557991,RB
2018,Kareem Hunt,36,2557917,RB
2018,Devonta Freeman,36,2543583,RB
2018,Joe Mixon,26,2557976,RB
2018,Jordan Howard,25,2555418,RB
2018,LeSean McCoy,23,79607,RB
2018,Lamar Miller,22,2533034,RB
2018,Royce Freeman,20,2559843,RB
2018,Alex Collins,19,#N/A,RB
2018,Derrick Henry,16,2556075,RB
2018,Jay Ajayi,13,2552582,RB
2018,Kenyan Drake,13,2555230,RB
2018,Mark Ingram,12,2495466,RB
2018,Carlos Hyde,9,2543743,RB
2018,Dion Lewis,9,2495469,RB
2018,Jamaal Williams,8,2558204,RB
2018,Tevin Coleman,8,2552453,RB
2018,Rex Burkhead,6,2539265,RB
2018,Duke Johnson,6,2552461,RB
2018,Chris Thompson,6,2540011,RB
2018,Adrian Peterson,6,2507164,RB
2018,Peyton Barber,5,2556466,RB
2018,Chris Carson,5,2558246,RB
2018,Marshawn Lynch,5,2495663,RB
2018,Kerryon Johnson,4,2560052,RB
2018,Rashaad Penny,4,2559898,RB
2018,Isaiah Crowell,3,2550189,RB
2018,Marlon Mack,2,2558123,RB
2018,Matt Breida,2,2558918,RB
2018,Ronald Jones II,1,2560770,RB
2018,James White,1,2543773,RB
2018,Alfred Morris,1,2533457,RB
2018,James Conner,1,2557978,RB
2018,Tarik Cohen,1,2558250,RB
2018,Rob Gronkowski,38,497240,TE
2018,Travis Kelce,15,2540258,TE
2018,Zach Ertz,15,2540158,TE
2018,Jimmy Graham,13,497236,TE
2018,Evan Engram,9,2557858,TE
2018,Greg Olsen,6,2495700,TE
2018,Jordan Reed,5,2540160,TE
2018,Delanie Walker,5,2495966,TE
2018,Kyle Rudolph,1,2495438,TE
2018,Trey Burton,1,2550284,TE
2018,David Njoku,1,2557986,TE
2018,Antonio Brown,48,2508061,WR
2018,DeAndre Hopkins,40,2540165,WR
2018,Odell Beckham,39,2543496,WR
2018,Julio Jones,38,2495454,WR
2018,Davante Adams,32,2543495,WR
2018,Michael Thomas,32,2556370,WR
2018,A.J. Green,30,2495450,WR
2018,Keenan Allen,29,2540154,WR
2018,Mike Evans,25,2543468,WR
2018,T.Y. Hilton,19,2532865,WR
2018,Tyreek Hill,17,2556214,WR
2018,Larry Fitzgerald,17,2506106,WR
2018,Amari Cooper,17,2552487,WR
2018,Demaryius Thomas,15,497328,WR
2018,Brandin Cooks,14,2543498,WR
2018,Stefon Diggs,13,2552608,WR
2018,Doug Baldwin,13,2530747,WR
2018,Jarvis Landry,10,2543488,WR
2018,Josh Gordon,9,2537931,WR
2018,Adam Thielen,9,2541785,WR
2018,Juju Smith-Schuster,7,2558149,WR
2018,Golden Tate,5,497326,WR
2018,Chris Hogan,4,2530515,WR
2018,Sammy Watkins,4,2543457,WR
2018,Jordy Nelson,4,1032,WR
2018,Julian Edelman,3,238498,WR
2018,Kelvin Benjamin,3,2543471,WR
2018,Allen Robinson,3,2543509,WR
2018,Marquise Goodwin,3,2539654,WR
2018,Marvin Jones,2,2532884,WR
2018,Alshon Jeffery,2,2533039,WR
2018,Michael Crabtree,1,71269,WR
2018,Randall Cobb,1,2495448,WR
2018,Emmanuel Sanders,1,497322,WR
2018,Cooper Kupp,1,2557898,WR
2018,Calvin Ridley,1,2560011,WR
2018,Pierre Garcon,1,2346,WR
2018,Will Fuller,1,2555349,WR
2018,Corey Davis,1,2557848,WR
2018,Kenny Stills,1,2540202,WR
2018,Devin Funchess,1,2552458,WR
